Demo_spol,Demo_starost,Demo_regija,Q1a_1_other,najboljše_ujemanje,razmerje,za_pregled
2,36,12,Telekom Slovenije,telekom slovenije,1.0,False
1,47,8,A1,a1,1.0,False
2,18,12,T2,t2,1.0,False
2,68,8,T-2,t-2,1.0,False
1,73,9,telekom,telekom,1.0,False
1,70,8,Telekom,telekom,1.0,False
2,64,2,T2,t2,1.0,False
2,55,8,Telekom,telekom,1.0,False
1,51,1,bob,bob,1.0,False
1,59,5,A1,a1,1.0,False
1,34,8,a1,a1,1.0,False
1,39,5,A1,a1,1.0,False
2,74,11,telekom,telekom,1.0,False
1,47,5,mobitel,mobitel,1.0,False
1,67,8,bob,bob,1.0,False
2,44,12,Sparmobil,spar mobil,0.9473684210526316,False
1,74,8,hofer,hofer,1.0,False
1,73,11,telemah,telemach,0.9333333333333333,False
2,68,8,T2,t2,1.0,False
2,51,2,Telekom,telekom,1.0,False
1,48,3,telemah,telemach,0.9333333333333333,False
1,55,8,T2,t2,1.0,False
2,31,2,telekom,telekom,1.0,False
1,57,8,Telekom,telekom,1.0,False
1,34,4,Telemach,telemach,1.0,False
2,30,7,A1,a1,1.0,False
1,27,2,A1,a1,1.0,False
1,28,12,Hot,hot,1.0,False
