Demo_spol,Demo_starost,Demo_regija,Q1a_1_other,najboljše_ujemanje,razmerje,za_pregled
2,64,8,Telekom,telekom,1.0,False
2,56,8,Telekom Slovenija,telekom slovenije,0.9411764705882353,False
1,55,10,telekom,telekom,1.0,False
2,39,9,Telekom,telekom,1.0,False
2,28,8,Telekom,telekom,1.0,False
2,60,3,Hofer,hofer,1.0,False
2,23,2,Telemach,telemach,1.0,False
1,60,2,a1,a1,1.0,False
2,51,1,Telemach,telemach,1.0,False
1,18,8,Telemach,telemach,1.0,False
1,45,8,Bob,bob,1.0,False
2,54,11,A1,a1,1.0,False
2,55,7,T2,t2,1.0,False
2,63,4,A1,a1,1.0,False
1,31,8,bob,bob,1.0,False
1,33,8,Telekom,telekom,1.0,False
2,21,9,T2,t2,1.0,False
1,40,11,telekom,telekom,1.0,False
1,51,8,T2,t2,1.0,False
2,64,5,Telekom,telekom,1.0,False
1,29,10,A1,a1,1.0,False
1,57,9,Telemach,telemach,1.0,False
2,23,4,Bob,bob,1.0,False
1,48,5,telemach,telemach,1.0,False
2,20,2,A1,a1,1.0,False
2,61,9,Telekom,telekom,1.0,False
2,22,9,A1,a1,1.0,False
2,24,4,Telecom,telekom,0.8571428571428572,False
2,33,7,A1,a1,1.0,False
2,21,8,Bob,bob,1.0,False
2,63,8,Telemach,telemach,1.0,False
1,48,8,A1,a1,1.0,False
2,53,7,t2,t2,1.0,False
2,29,8,Hot mobil,hot mobil,1.0,False
2,56,1,Telemach,telemach,1.0,False
1,51,8,T2,t2,1.0,False
2,49,2,telemach,telemach,1.0,False
2,48,2,A1,a1,1.0,False
2,50,12,A1,a1,1.0,False
1,44,1,Telemach,telemach,1.0,False
1,24,2,Telekom,telekom,1.0,False
2,46,8,Telekom,telekom,1.0,False
1,65,11,telekom,telekom,1.0,False
1,34,7,T2,t2,1.0,False
1,23,11,Telekom Slovenije,telekom slovenije,1.0,False
2,67,1,T-2,t-2,1.0,False
1,63,7,Telekom,telekom,1.0,False
