Demo_spol,Demo_starost,Demo_regija,D11,S2,Q0B4_r1,Q0B4_r2,Q0B4_r3,Q0B4_r4,Q0B3,Q1a_1,Q1a_2,Q1a_3,Q1a_4,Q1a_5,Q1a_6,Q1a_7,Q1a_8,Q1a_9,Q1a_10,Q1a_11,Q1a_1_other,Q1a_2_other,Q1a_3_other,Q1a_4_other,Q1a_5_other,Q1a_6_other,Q1a_7_other,Q1a_8_other,Q1a_9_other,Q1a_10_other,Q2a_1,Q2a_2,Q2a_3,Q2a_4,Q2a_5,Q2a_6,Q2a_7,Q2a_8,Q1b_1,Q1b_2,Q1b_3,Q1b_4,Q1b_5,Q1b_6,Q1b_7,Q1b_8,Q1b_9,Q1b_10,Q1b_11,Q1b_1_other,Q1b_2_other,Q1b_3_other,Q1b_4_other,Q1b_5_other,Q1b_6_other,Q1b_7_other,Q1b_8_other,Q1b_9_other,Q1b_10_other,Q2b_1,Q2b_2,Q2b_3,Q2b_4,Q2b_5,Q2b_6,PREFmobilni,PREFmobilni_8_other,PREFfix
2,30,7,2,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom,T2, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,A1,Telemach,Telekom, , , , , , , ,1,1,1,1,0,0,9, ,2
2,21,5,1,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telekom,Telemach,A1,Bob,Hofer, , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom - neo,T2,Total tv,Telemach, , , , , , ,1,1,1,1,1,0,1, ,1
1,26,8,4,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,Telemach,A1,Telekom,Re:do,Hofer, , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,Telekom,A1, , , , , , , ,1,1,1,1,0,0,7, ,3
1,27,8,2,2,1,1,1,2,1,1,1,1,1,1,1,1,0,0,0,0,Telekom,A1,T2,Bob,Hofer,telemach,Spar, , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,A1,T2, , , , , , , ,1,1,1,1,0,0,1, ,4
1,27,1,4,2,1,1,1,2,3,1,1,1,1,1,0,0,0,0,0,0,Telekom,A1,Telemach,Hot,Bob, , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,T2,Telemach, , , , , , ,1,1,1,1,0,0,9, ,1
2,26,4,4,2,1,1,1,1,3,1,1,1,0,0,0,0,0,0,0,0,Telemah,Telekom,A1, , , , , , , ,1,1,1,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,Telemah,Telekom,A1,Siol,Bob, , , , , ,1,1,1,1,0,0,1, ,1
2,24,1,2,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,A1,Bob,Hot,Telemach,Tus, , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,T2,A1,Telekom, , , , , , , ,1,1,1,1,0,0,5, ,2
1,24,6,3,2,1,1,1,2,3,1,1,1,1,1,0,0,0,0,0,0,A1,Telekom,Telemach,Siol,T2, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,Telekom,A1,Hot hofer,Telekom,T-2,Siol, , , , ,1,1,1,1,1,0,2, ,2
1,30,4,3,2,1,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,Telekom,Simobil, , , , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telekom,T2, , , , , , , , ,1,1,1,1,0,0,9, ,6
1,24,8,4,2,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,telekom,telemach,t2, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,telekom,telemach,t2, , , , , , , ,1,1,1,1,0,0,1, ,1
2,24,2,3,2,1,2,1,2,1,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,Bob, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Telekom,Bom, , , , , , ,1,1,1,1,0,0,9, ,6
1,28,7,1,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,T2, , , , , , ,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,A1,Telekom, , , , , , , ,1,0,0,0,0,0,1, ,1
1,25,2,3,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,HoT,Telekom slovenije,Telemach,A1, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T2,Telekom slovenije,A1,Telemach, , , , , , ,1,1,1,1,0,0,1, ,3
1,25,4,3,2,1,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,T-2,Telekom,Telemach,A1,Bob, , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,A1,T-2, , , , , , ,1,1,1,1,1,0,3, ,4
1,21,8,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,Telemah,Te2, , , , , , ,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemah,Te2, , , , , , , ,1,1,0,1,1,0,1, ,1
2,19,7,4,2,1,1,1,2,1,1,1,1,1,1,1,1,1,0,0,0,telekom,telemach,A1,T2,Simobil,Bob,Spar,Hofer, , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,Telemach,A1,T2, , , , , , ,1,1,1,1,0,0,1, ,1
2,21,12,1,2,1,1,1,2,3,1,1,1,0,0,0,0,0,0,0,0,A1,Bob,Telemach, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,Siol, , , , , , , ,1,1,1,1,0,0,5, ,1
2,24,8,1,2,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,A1,Telemach,Bob,Izi mobil, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telemach,T2,A1, , , , , , , ,1,1,1,1,0,0,2, ,3
1,25,8,2,2,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,Telemach,A1, , , , , , , ,1,1,1,1,0,0,1, ,1
1,22,7,4,2,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,Iphone,Samsung,Siaomi,Nokia, , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Siol,Amis, , , , , , , , ,1,1,1,1,0,0,1, ,6
2,22,9,1,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,Hofer telekom,Bob, , , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,Telekom,A1,Telemach, , , , , , , ,1,1,1,1,1,0,9, ,1
2,23,6,1,2,1,1,1,1,2,1,1,1,1,1,1,1,0,0,0,0,Telemach,A1,Siol,telekom,bob,hot,izimobil, , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,A1,Telemach,bob,telekom,siol, , , , , ,1,1,1,1,1,0,3, ,2
2,18,4,2,2,1,1,1,1,2,1,1,1,1,1,1,0,0,0,0,0,Telekom,Telemah,T2,A1,Hofer,Petrol, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,Telekom,A1,Telemah,T2, , , , , , ,1,1,1,1,0,0,1, ,1
1,29,8,9,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,Telekom,A1,Tuš mobil, , , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,telemah,t2,a1,telekom, , , , , , ,1,1,1,1,1,0,9, ,6
2,18,2,1,2,1,1,1,2,3,1,1,1,1,1,1,0,0,0,0,0,telekom,telemach,megatel,hot mobil,a1,t2, , , , ,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,telekom,telemach,a1,tušmobil,t2, , , , , ,1,1,1,1,0,0,9, ,3
1,24,5,8,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,Telemach,Telekom,Bob,Hofer, , , , , , ,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,Telekom,Telemach, , , , , , , , ,1,1,1,1,1,0,1, ,1
1,28,8,1,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,Telemach,T2,Telekom, , , , , , , ,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Telekom,Telemach, , , , , , , , ,1,1,1,1,1,0,1, ,1
2,21,5,3,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,Telekom, , , , , , , , , ,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,Telemach, , , , , , , , , ,1,1,1,1,1,0,9, ,6
1,28,8,4,2,1,2,1,2,2,1,1,1,1,1,1,0,0,0,0,0,T-2,A1,Telekom,Telemach,Bob,Hot, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T-2,Telekom,A1,Telemach, , , , , , ,1,1,1,1,1,0,4, ,4
1,30,2,3,2,1,1,1,1,2,1,1,1,0,0,0,0,0,0,0,0,A1,Telekom,Telemach, , , , , , , ,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,A1,T2,Telemach,Telekom,Ario, , , , , ,1,1,1,1,0,0,2, ,4
1,29,6,3,2,1,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,A1,Telekom Slovenija,Izi,Telemach, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,T2,A1,Telekom Slovenija, , , , , , , ,1,1,1,1,0,0,1, ,1
2,21,2,3,2,1,1,1,2,2,1,1,1,1,1,1,0,0,0,0,0,t2,telekom slovenije,telemach,a1,bob,hofer, , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,A1,t2,telekom slovenije,telemach, , , , , , ,1,1,1,1,0,0,2, ,2
2,25,9,3,2,1,1,1,2,2,1,1,1,1,0,0,0,0,0,0,0,A1,T2,Telekom,Hofer, , , , , , ,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,T2,A1,Bob,Telekom, , , , , , ,1,1,1,1,1,0,5, ,4
1,19,9,3,2,1,1,1,2,2,1,1,0,0,0,0,0,0,0,0,0,T2,Telemach, , , , , , , , ,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,T2,Telemach,A1,Telekom slovenije, , , , , , ,1,1,1,1,0,0,4, ,4
2,23,7,8,2,1,1,1,2,2,1,1,1,1,1,0,0,0,0,0,0,telekom,telemach,bob,a1,t2, , , , , ,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,telekom,telemach,t2, , , , , , , ,1,1,1,1,1,0,1, ,1
